Game,AppID,Release Date,Price ($),Review Count,Estimated Revenue ($)
Balatro,2379780,"Feb 20, 2024",14.99,105818,79310591
WEBFISHING,3146520,"Oct 11, 2024",4.99,51377,12818562
Satisfactory,526870,"Sep 10, 2024",39.99,188949,377803526
Crime Scene Cleaner,1040200,"Aug 14, 2024",19.99,18022,18012989
Tiny Glade,2198150,"Sep 23, 2024",12.74,16992,10823904
Tactical Breach Wizards,1043810,"Aug 22, 2024",19.99,8298,8293851
Blade and Sorcery,629730,"Jun 17, 2024",29.99,53682,80496159
I Wani Hug that Gator!,1895350,"Feb 14, 2024",14.99,4046,3032477
Murders on the Yangtze River,1746030,"Jan 30, 2024",14.99,13186,9882907
Nodebuster,3107330,"Aug 13, 2024",2.99,9934,1485133
Aliya: Timelink,2704110,"Apr 25, 2024",2.99,4823,721038
Crow Country,1996010,"May 9, 2024",19.99,4523,4520738
Buckshot Roulette,2835570,"Apr 4, 2024",2.99,77483,11583708
Felvidek,2299900,"Mar 29, 2024",10.99,3209,1763346
MULLET MADJACK,2111190,"May 15, 2024",14.99,5934,4447533
I Am Your Beast,1876590,"Sep 10, 2024",19.99,2975,2973512
Mouthwashing,2475490,"Sep 26, 2024",12.99,24537,15936782
Thronefall,2239150,"Oct 11, 2024",12.99,19280,12522360
Rusty's Retirement,2666510,"Apr 26, 2024",6.99,11285,3944108
Minami Lane,2678990,"Feb 28, 2024",4.99,4452,1110774
Papa's Pizzeria Deluxe,3259470,"Nov 19, 2024",5.99,2186,654707
Touhou Hero of Ice Fairy,1955830,"Apr 3, 2024",6.99,5392,1884504
CATO: Buttered Cat,1999520,"Sep 5, 2024",10.99,1938,1064931
OneShot: World Machine Edition,2915460,"Sep 30, 2024",9.99,2064,1030968
Just a To the Moon Series Beach Episode,2159210,"Sep 20, 2024",7.99,2452,979574
Mirage Feathers,2719060,"Sep 6, 2024",4.99,1669,416416
ANIMAL WELL,813230,"May 9, 2024",24.99,18158,22688421
DICEOMANCER,2501600,"Oct 9, 2024",14.99,3579,2682460
Living With Sister: Monochrome Fantasy,2429860,"Mar 22, 2024",12.99,9494,6166353
Psychopomp GOLD,3243190,"Oct 24, 2024",8.99,2737,1230282
"Little Kitty, Big City",1177980,"May 9, 2024",24.99,7463,9325018
Rooftops & Alleys: The Parkour Game,2703850,"May 21, 2024",19.99,4695,4692652
Thank Goodness You're Here!,2366980,"Aug 1, 2024",19.99,5066,5063467
Nine Sols,1809540,"May 28, 2024",29.99,22036,33042982
Hades II,1145350,"May 6, 2024",29.99,57292,85909354
Palworld,1623730,"Jan 18, 2024",29.99,313774,470504113
Nova Drift,858210,"Aug 12, 2024",17.99,12151,10929824
Snufkin: Melody of Moominvalley,1808680,"Mar 7, 2024",19.99,2288,2286856
Kaiju Princess 2,2289720,"Dec 12, 2024",17.99,1807,1625396
Five Nights at Freddy's: Into the Pit,2638370,"Aug 7, 2024",15.99,8755,6999622
BlazBlue Entropy Effect,2273430,"Feb 14, 2024",19.99,24276,24263862
Dreamlike Love with Seira,2986260,"Aug 23, 2024",6.99,886,309657
Leap Year,2951770,"Jun 13, 2024",3.49,1545,269602
Crypt Custodian,2394650,"Aug 27, 2024",19.99,1468,1467266
Dog Brew,2883280,"Apr 30, 2024",3.5,1439,251825
Emberward,2459550,"Jun 25, 2024",14.99,2185,1637658
your wife,3339420,"Nov 28, 2024",0.99,3687,182506
Sorry We're Closed,1796580,"Nov 14, 2024",18.74,978,916386
UFO 50,1147860,"Sep 18, 2024",24.99,5581,6973460
Yellow Taxi Goes Vroom,2011780,"Apr 9, 2024",16.99,1061,901319
Supermarket Simulator,2670630,"Feb 20, 2024",12.99,61013,39627944
Supermarket Simulator,2670630,"Feb 20, 2024",12.99,61013,39627944
Laughing to Die,2182400,"Apr 10, 2024",4.99,2435,607532
ANTONBLAST,1887400,"Dec 3, 2024",15.99,2574,2057913
Windowkill,2726450,"Feb 23, 2024",4.99,2620,653690
Duck Detective: The Secret Salami,2637990,"May 23, 2024",9.99,4109,2052446
Kukoro: Stream chat games,1166990,"Feb 2, 2024",4.99,871,217314
DEVIL BLADE REBOOT,2882440,"May 23, 2024",15.99,611,488494
Cat Bait,2929730,"Aug 27, 2024",4.99,890,222055
News Tower,1649950,"Feb 13, 2024",19.99,1951,1950024
Bagel Love Story,2798600,"May 20, 2024",3.99,1003,200098
Furry Angel Take In,2910460,"Oct 16, 2024",6.99,459,160420
Parking Garage Rally Circuit,2737300,"Sep 20, 2024",9.99,936,467532
Snezhinka:Sentinel Girls2,2608350,"Aug 26, 2024",7.99,1747,697926
Grunn,2720950,"Oct 4, 2024",12.99,657,426722
Dünnes Eis - Das Spiel zum Song,2961990,"May 16, 2024",3.99,452,90174
4D Golf,2147950,"Mar 22, 2024",19.99,635,634682
POOLS,2663530,"Apr 26, 2024",9.79,3948,1932546
Wilmot Works It Out,2060590,"Oct 23, 2024",14.99,366,274317
Our Adventurer Guild,2026000,"Apr 12, 2024",11.99,1525,914238
Neva,2420660,"Oct 15, 2024",19.99,5507,5504246
hololive Treasure Mountain,2972990,"Jul 31, 2024",8.99,633,284534
Fast Food Simulator,2916430,"Dec 10, 2024",14.99,3727,2793386
Terminus: Zombie Survivors,1534980,"Aug 19, 2024",19.99,3678,3676161
Dunjungle,1589570,"Oct 22, 2024",9.99,550,274725
Black Gunner Wukong,2270750,"Feb 4, 2024",4.99,367,91566
Cats Hidden in China,2608040,"Apr 25, 2024",0.99,535,26482
Fruit Mountain,2753620,"Mar 17, 2024",8.99,382,171709
Turnip Boy Robs a Bank,2097230,"Jan 18, 2024",9.74,1547,753389
KinitoPET,2075070,"Jan 9, 2024",5.99,10570,3165715
Ancient Warfare 3,758990,"Jan 26, 2024",12.99,2441,1585430
SUMMERHOUSE,2533960,"Mar 8, 2024",4.99,2623,654438
Desvelado,2878710,"Aug 14, 2024",6.99,250,87375
SteamWorld Heist II,2396240,"Aug 8, 2024",29.99,1509,2262746
The Crimson Diamond,1098770,"Aug 15, 2024",14.99,447,335026
ГОООООООЛ!,3024540,"Oct 10, 2024",1.99,1198,119201
Grocery Store Simulator,2961880,"Nov 21, 2024",14.99,4214,3158393
Tiny Terry's Turbo Trip,2238040,"May 30, 2024",17.99,994,894103
Mimic Logic,2455920,"Feb 22, 2024",3.99,410,81795
Desert Stalker,2899050,"Dec 13, 2024",17.99,548,492926
Reus 2,1875060,"May 28, 2024",24.99,1684,2104158
Kitsune Tails,1325260,"Aug 1, 2024",14.99,721,540390
Iron Meat,1157740,"Sep 25, 2024",19.99,681,680660
Kitten Burst,1592360,"Jan 20, 2024",24.99,279,348610
LurkBait Twitch Fishing,2767520,"Feb 21, 2024",7.0,301,105350
Dollmare,2793710,"Oct 24, 2024",4.99,1004,250498
Liar's Bar,3097560,"Oct 2, 2024",6.99,39756,13894722
CAT & ONION,2781210,"Mar 12, 2024",2.99,239,35730
Duelists of Eden,1664200,"Mar 7, 2024",4.99,810,202095
OBSCURA,2342920,"Sep 9, 2024",11.99,220,131890
Dawnsbury Days,2693730,"Mar 8, 2024",4.99,432,107784
HorrorVale,1114650,"Oct 1, 2024",15.99,105,83948
Lorelei and the Laser Eyes,2008920,"May 16, 2024",18.74,1893,1773741
Anthology Of The Killer,3212530,"Oct 8, 2024",6.99,208,72696
Anger Foot,1978590,"Jul 11, 2024",24.99,2451,3062524
Cats Hidden Around the World,2377970,"Jun 9, 2024",4.99,432,107784
Apprehending the Adventurer Chan! ~Live2D Tentacles Simulator~,3012420,"Jun 27, 2024",7.99,605,241698
Dungeons of Hinterberg,1983260,"Jul 18, 2024",29.99,1406,2108297
